"System_ID","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
"5990614",2012,1161,44969,278657,16763,203880,1081848,36293,1285728,81698,8846,112589,19943,373,7290,475,692,531,26,1711,3808,8
"5990614",2013,1121,40181,273841,13936,168059,903207,27559,1071266,86716,7069,101194,18592,356,6848,314,660,484,34,1492,3340,7
"5990614",2014,1089,39379,269451,13466,161417,935492,28506,1096909,76657,6390,99433,18628,368,7057,288,623,466,28,1405,3178,7
"5990614",2015,1089,42509,285818,13581,151340,1008124,28593,1159464,73741,6233,100349,19097,393,7424,253,645,634,23,1555,3503,7
"5990614",2016,1101,42952,280780,14354,159432,689309,28966,848741,67524,6895,115729,19484,414,8639,363,566,505,11,1445,3304,7
"5990616",2011,167,3983,42231,6,0,37554,48,37554,9615,817,16082,1390,6,389,0,0,0,8,8,22,7
"5990616",2012,170,3910,38923,9,0,43794,61,43794,11321,1024,9605,867,13,439,0,0,0,0,0,13,7
"5990616",2013,190,5192,52035,7,0,54127,51,54127,14382,1338,12500,1105,9,429,0,0,0,0,0,9,8
"5990616",2014,238,6796,64942,4,0,74600,47,74600,18878,1928,15730,1406,10,546,0,0,0,0,0,10,9
"5990616",2015,458,9317,108069,1,0,68505,37,68505,18577,1582,43702,3228,10,793,10,1,0,17,28,66,14
"5990616",2016,452,10228,110018,0,0,120329,42,120329,20432,1938,43199,3053,13,882,63,3,0,16,82,177,13
"5990617",2011,182,4300,49173,0,0,62052,0,62052,991,316,36080,2794,1,584,262,0,0,0,262,525,4
"5990617",2012,405,4752,88216,0,3,54432,161,54435,862,46,69309,3769,0,995,187,0,0,0,294,481,8
"5990617",2013,806,7965,156294,0,30,43501,0,43531,4284,163,115787,6072,4,1742,616,0,31,88,764,1503,13
"5990617",2014,735,8388,173937,0,14,49168,595,49182,5276,284,136440,6688,2,1650,1142,5,5,234,1386,2774,15
"5990617",2015,744,8667,174451,57,41,50178,496,50219,3889,237,135521,6876,1,1710,1167,1,7,233,1509,2918,16
"5990617",2016,835,10919,182625,86,48,55180,670,55228,4585,223,142455,8581,1,1868,1341,0,21,12,1634,3009,21
"5990618",2011,890,46535,212583,10523,207098,930089,19827,1137187,23500,6148,122931,22882,20,3514,1630,146,532,971,3279,6578,4
"5990618",2012,868,50457,204665,10642,208259,905056,20178,1113315,25907,7543,102168,20331,35,2994,1068,1201,464,12,2745,5525,4
"5990618",2013,855,44071,209249,8740,198903,926328,20047,1125231,27263,7241,123450,22405,7,2980,1468,1369,440,1355,3136,7775,4
"5990618",2014,855,44069,196218,8851,202648,1072987,20134,1275635,32006,8774,111993,21353,6,2970,1620,1367,550,0,3537,7080,4
"5990618",2015,864,46038,204976,8859,204171,1202834,20714,1407005,44577,11869,118765,22817,30,3320,1688,1440,546,0,3674,7378,4
"5990618",2016,878,47260,210030,9949,200250,1458418,22703,1658668,38898,9789,117416,23444,26,3400,1236,1472,620,0,3328,6682,4
"5990620",2011,79,1902,10406,161,3205,24030,551,27235,559,141,7064,1009,3,293,0,0,0,0,0,3,3
"5990620",2012,65,1785,9790,107,1909,23643,1163,25552,444,69,6497,922,2,294,0,0,0,0,0,2,3
"5990620",2013,50,1079,6992,0,0,14700,661,14700,295,35,4972,607,1,216,0,0,0,0,0,1,2
"5990620",2014,50,1048,6696,0,0,15232,1020,15232,192,26,4818,601,2,218,0,0,0,0,0,2,2
"5990620",2015,50,1081,11262,0,0,15071,0,15071,68,16,10371,669,1,168,0,0,0,0,20,21,2
"5990620",2016,30,585,10322,0,0,0,0,0,0,0,9209,519,0,60,0,0,0,0,20,20,3
"5990622",2011,969,36318,171881,9228,189281,372342,24452,561623,18384,6120,107316,19817,82,3397,172,38,133,17,360,802,7
"5990622",2012,1052,43369,186283,9472,211678,439284,25072,650962,21025,7120,119891,22854,96,4064,245,48,191,92,706,1378,8
